,date,hr,weather,temperature,feels-like-temperature,relative-humidity,windspeed,psi,guest-users,registered-users
101,2011-01-05,10,clear,65.0,84.2,37.0,22.0,12,30,694
102,2011-01-05,11,clear,68.4,87.8,33.0,22.0,39,84,443
103,2011-01-05,12,clear,68.4,87.8,33.0,22.0,4,36,967
104,2011-01-05,13,clear,70.1,91.4,30.0,20.0,12,41,850
105,2011-01-05,14,clear,71.8,95.0,28.000000000000004,13.0,1,70,680
106,2011-01-05,15,clear,71.8,95.0,28.000000000000004,13.0,48,50,719
107,2011-01-05,16,clear,71.8,98.6,28.000000000000004,6.0,30,28,1110
108,2011-01-05,17,clear,66.7,87.8,38.0,13.0,36,27,2417
109,2011-01-05,18,clear,66.7,89.6,38.0,9.0,42,20,2160
110,2011-01-05,19,clear,66.7,91.4,38.0,7.0,0,35,1653
111,2011-01-05,20,clear,65.0,87.8,47.0,11.0,24,48,1062
112,2011-01-05,21,clear,63.3,84.2,51.0,13.0,41,22,522
113,2011-01-05,22,clear,61.6,84.2,55.00000000000001,9.0,6,6,534
114,2011-01-05,23,clear,63.3,91.4,47.0,0.0,7,6,239
115,2011-01-06,0,clear,61.6,89.6,55.00000000000001,0.0,31,2,141
116,2011-01-06,1,clear,59.9,87.8,64.0,0.0,35,2,51
117,2011-01-06,2,clear,59.9,87.8,64.0,0.0,29,0,29
118,2011-01-06,4,cloudy,59.9,84.2,64.0,6.0,17,2,13
119,2011-01-06,5,cloudy,58.2,82.4,69.0,6.0,10,2,57
120,2011-01-06,6,cloudy,58.2,80.6,63.0,7.0,48,2,466
121,2011-01-06,7,cloudy,59.9,87.8,59.0,0.0,45,0,1233
122,2011-01-06,8,clear,59.9,87.8,59.0,0.0,38,19,2806
123,2011-01-06,9,cloudy,61.6,89.6,51.0,0.0,35,43,1513
124,2011-01-06,10,clear,63.3,91.4,47.0,0.0,34,21,549
125,2011-01-06,11,clear,65.0,91.4,44.0,6.0,44,14,745
126,2011-01-06,12,clear,68.4,95.0,35.0,0.0,41,40,1019
127,2011-01-06,13,clear,68.4,93.2,35.0,7.0,21,82,712
128,2011-01-06,14,clear,70.1,93.2,36.0,11.0,13,78,770
129,2011-01-06,15,clear,70.1,93.2,36.0,0.0,45,58,699
130,2011-01-06,16,clear,68.4,91.4,38.0,11.0,26,86,960
131,2011-01-06,17,clear,65.0,87.8,51.0,11.0,29,64,2121
132,2011-01-06,18,clear,65.0,87.8,51.0,9.0,19,36,2058
133,2011-01-06,19,clear,65.0,91.4,55.00000000000001,6.0,5,20,1416
134,2011-01-06,20,clear,63.3,86.0,51.0,11.0,3,23,853
135,2011-01-06,21,cloudy,65.0,86.0,55.00000000000001,15.0,42,1,624
136,2011-01-06,22,cloudy,65.0,86.0,51.0,19.0,22,7,665
137,2011-01-06,23,cloudy,63.3,84.2,59.0,13.0,23,30,251
138,2011-01-07,0,cloudy,63.3,84.2,64.0,13.0,29,29,164
139,2011-01-07,1,cloudy,63.3,84.2,69.0,15.0,21,15,63
140,2011-01-07,2,cloudy,63.3,84.2,69.0,15.0,4,2,14
141,2011-01-07,4,cloudy,63.3,86.0,69.0,9.0,22,-1,14
142,2011-01-07,5,light snow/rain,65.0,93.2,55.00000000000001,0.0,38,0,62
143,2011-01-07,6,cloudy,63.3,91.4,69.0,0.0,15,57,342
144,2011-01-07,7,clear,63.3,86.0,69.0,9.0,22,56,987
145,2011-01-07,8,clear,63.3,84.2,51.0,17.0,22,139,2468
146,2011-01-07,9,clear,63.3,82.4,47.0,20.0,49,64,1625
147,2011-01-07,10,clear,65.0,84.2,37.0,22.0,0,111,608
148,2011-01-07,11,cloudy,63.3,84.2,40.0,15.0,48,132,625
149,2011-01-07,12,cloudy,63.3,84.2,37.0,17.0,29,65,646
150,2011-01-07,13,cloudy,63.3,82.4,37.0,19.0,20,61,836
151,2011-01-07,14,cloudy,63.3,84.2,40.0,17.0,11,48,555
152,2011-01-07,15,cloudy,63.3,86.0,37.0,11.0,39,65,815
153,2011-01-07,16,cloudy,63.3,86.0,37.0,11.0,15,34,1071
154,2011-01-07,17,cloudy,63.3,91.4,37.0,0.0,28,61,2314
155,2011-01-07,18,clear,63.3,87.8,40.0,6.0,32,47,1503
156,2011-01-07,19,clear,59.9,84.2,55.00000000000001,6.0,9,20,1191
157,2011-01-07,20,clear,61.6,86.0,47.0,7.0,20,5,651
158,2011-01-07,21,clear,61.6,84.2,47.0,9.0,34,-1,512
159,2011-01-07,22,cloudy,61.6,84.2,43.0,11.0,45,15,437
160,2011-01-07,23,cloudy,61.6,84.2,51.0,11.0,6,5,183
161,2011-01-08,0,cloudy,61.6,84.2,51.0,11.0,0,5,316
162,2011-01-08,1,cloudy,61.6,86.0,55.00000000000001,6.0,5,6,195
163,2011-01-08,2,cloudy,61.6,89.6,55.00000000000001,0.0,26,23,166
164,2011-01-08,3,light snow/rain,61.6,84.2,55.00000000000001,11.0,16,-1,90
165,2011-01-08,4,light snow/rain,61.6,84.2,55.00000000000001,11.0,12,0,14
166,2011-01-08,5,cloudy,59.9,80.6,74.0,11.0,33,-1,64
167,2011-01-08,6,cloudy,59.9,80.6,74.0,11.0,27,-2,24
168,2011-01-08,7,cloudy,59.9,82.4,74.0,7.0,25,7,102
169,2011-01-08,8,light snow/rain,59.9,82.4,93.0,7.0,18,1,200
170,2011-01-08,9,light snow/rain,59.9,82.4,93.0,7.0,16,-1,263
171,2011-01-08,10,cloudy,61.6,84.2,80.0,11.0,0,34,729
172,2011-01-08,11,cloudy,63.3,82.4,69.0,26.0,9,13,777
173,2011-01-08,12,loudy,63.3,82.4,59.0,24.0,25,55,1165
174,2011-01-08,13,CLEAR,63.3,82.4,44.0,22.0,12,49,1236
175,2011-01-08,14,clear,63.3,80.6,32.0,33.0,18,84,1078
176,2011-01-08,15,clear,63.3,80.6,32.0,30.0,27,34,899
177,2011-01-08,16,clear,61.6,77.0,29.0,30.0,39,58,885
178,2011-01-08,17,clear,59.9,75.2,37.0,37.0,27,36,831
179,2011-01-08,18,clear,58.2,75.2,39.0,20.0,26,19,672
180,2011-01-08,19,clear,58.2,75.2,36.0,17.0,5,26,337
181,2011-01-08,20,lear,56.6,75.2,36.0,17.0,30,1,367
182,2011-01-08,21,clear,56.6,73.4,39.0,24.0,1,16,454
183,2011-01-08,22,clear,56.6,73.4,36.0,26.0,9,9,427
184,2011-01-08,23,clear,54.9,68.0,39.0,30.0,10,-2,284
185,2011-01-09,0,clear,54.9,69.8,42.0,26.0,38,9,317
186,2011-01-09,1,clear,54.9,68.0,42.0,31.0,29,-1,154
187,2011-01-09,2,clear,54.9,68.0,46.0,31.0,30,-1,138
188,2011-01-09,3,clear,54.9,69.8,46.0,28.0,32,1,47
189,2011-01-09,4,clear,53.2,71.6,53.0,13.0,7,-1,18
190,2011-01-09,5,clear,53.2,71.6,53.0,13.0,27,0,8
191,2011-01-09,6,clear,54.9,71.6,49.0,19.0,18,2,10
192,2011-01-09,7,clear,53.2,71.6,53.0,13.0,49,7,67
193,2011-01-09,8,clear,54.9,71.6,49.0,19.0,0,1,130
194,2011-01-09,9,clear,56.6,69.8,46.0,35.0,2,2,251
195,2011-01-09,10,clear,58.2,73.4,43.0,26.0,48,1,637
196,2011-01-09,11,clear,59.9,75.2,40.0,35.0,5,14,611
197,2011-01-09,12,clear,61.6,77.0,37.0,30.0,43,28,1024
198,2011-01-09,13,clear,63.3,80.6,34.0,30.0,27,44,893
199,2011-01-09,14,clear,65.0,82.4,32.0,31.0,25,54,827
200,2011-01-09,15,clear,65.0,84.2,35.0,24.0,34,34,1002
201,2011-01-09,16,clear,63.3,80.6,34.0,30.0,24,93,1028
202,2011-01-09,17,clear,61.6,78.8,37.0,26.0,27,22,763
203,2011-01-09,18,clear,59.9,77.0,40.0,22.0,2,26,575
204,2011-01-09,19,clear,59.9,77.0,43.0,22.0,40,5,524
205,2011-01-09,20,clear,58.2,75.2,46.0,17.0,15,-1,493
206,2011-01-09,21,clear,58.2,73.4,46.0,28.0,31,7,252
207,2011-01-09,22,clear,58.2,75.2,46.0,20.0,6,35,130
208,2011-01-09,23,clear,56.6,77.0,50.0,13.0,8,-1,73
209,2011-01-10,0,clear,56.6,75.2,50.0,19.0,49,15,35
210,2011-01-10,1,clear,56.6,75.2,50.0,19.0,16,9,-4
211,2011-01-10,2,clear,56.6,75.2,50.0,15.0,24,-2,43
212,2011-01-10,3,clear,56.6,75.2,50.0,15.0,38,0,18
213,2011-01-10,4,clear,54.9,75.2,54.0,9.0,46,7,31
214,2011-01-10,5,clear,54.9,73.4,54.0,17.0,47,-2,34
215,2011-01-10,6,clear,56.6,75.2,50.0,19.0,30,0,405
216,2011-01-10,7,clear,56.6,75.2,50.0,15.0,35,15,979
217,2011-01-10,8,cloudy,56.6,75.2,50.0,19.0,39,28,2397
218,2011-01-10,9,cloudy,58.2,75.2,50.0,17.0,47,15,1194
219,2011-01-10,10,cloudy,58.2,75.2,50.0,20.0,44,-2,403
220,2011-01-10,11,cloudy,59.9,77.0,47.0,19.0,22,14,364
221,2011-01-10,12,CLOUDY,63.3,82.4,40.0,19.0,8,36,613
222,2011-01-10,13,cloudy,63.3,82.4,40.0,19.0,13,28,655
223,2011-01-10,14,cloudy,63.3,84.2,40.0,15.0,10,-1,610
224,2011-01-10,15,cloudy,63.3,84.2,40.0,15.0,11,16,555
225,2011-01-10,16,clear,63.3,86.0,40.0,9.0,23,27,909
226,2011-01-10,17,clear,63.3,87.8,40.0,7.0,44,28,2264
227,2011-01-10,18,clear,63.3,84.2,40.0,15.0,29,5,2004
228,2011-01-10,19,clear,59.9,80.6,47.0,11.0,21,19,1199
229,2011-01-10,20,lear,59.9,80.6,50.0,11.0,44,7,947
230,2011-01-10,21,clear,58.2,77.0,59.0,13.0,6,5,479
231,2011-01-10,22,clear,58.2,78.8,59.0,11.0,16,14,288
232,2011-01-10,23,lear,58.2,78.8,59.0,11.0,35,0,231
233,2011-01-11,0,clear,58.2,80.6,59.0,7.0,20,12,130
234,2011-01-11,1,clear,58.2,78.8,59.0,11.0,11,-1,38
235,2011-01-11,2,cloudy,59.9,78.8,55.00000000000001,13.0,33,1,40
236,2011-01-11,5,cloudy,59.9,82.4,55.00000000000001,9.0,11,-1,73
237,2011-01-11,6,cloudy,59.9,82.4,55.00000000000001,9.0,4,0,348
238,2011-01-11,7,cloudy,59.9,87.8,55.00000000000001,0.0,23,15,1259
239,2011-01-11,8,cloudy,61.6,86.0,51.0,6.0,22,21,2782
240,2011-01-11,9,cloudy,61.6,84.2,51.0,11.0,5,19,1656
241,2011-01-11,10,cloudy,63.3,86.0,51.0,11.0,33,22,663
242,2011-01-11,11,cloudy,63.3,86.0,47.0,9.0,33,26,400
243,2011-01-11,12,cloudy,63.3,87.8,51.0,7.0,21,15,710
244,2011-01-11,13,cloudy,63.3,87.8,59.0,6.0,7,44,596
245,2011-01-11,14,cloudy,63.3,87.8,59.0,6.0,30,21,775
246,2011-01-11,15,cloudy,59.9,84.2,80.0,6.0,23,15,582
247,2011-01-11,16,cloudy,59.9,78.8,86.0,15.0,48,30,938
248,2011-01-11,17,cloudy,59.9,78.8,86.0,15.0,44,44,1691
249,2011-01-11,18,light snow/rain,59.9,82.4,93.0,7.0,3,5,1222
250,2011-01-11,19,light snow/rain,59.9,87.8,93.0,0.0,14,0,660
251,2011-01-11,20,light snow/rain,59.9,78.8,93.0,13.0,24,-1,418
252,2011-01-11,21,light snow/rain,59.9,84.2,86.0,6.0,3,-2,257
253,2011-01-11,22,light snow/rain,59.9,82.4,93.0,7.0,24,8,360
254,2011-01-11,23,light snow/rain,59.9,84.2,93.0,6.0,5,9,238
255,2011-01-12,0,cloudy,59.9,84.2,86.0,6.0,13,1,91
256,2011-01-12,1,cloudy,59.9,82.4,86.0,7.0,1,-2,74
257,2011-01-12,2,clear,58.2,78.8,86.0,9.0,0,-2,14
258,2011-01-12,5,clear,58.2,78.8,86.0,11.0,13,-1,69
259,2011-01-12,6,clear,56.6,78.8,93.0,9.0,25,1,212
260,2011-01-12,7,clear,58.2,78.8,69.0,9.0,14,-1,698
261,2011-01-12,8,clear,59.9,80.6,59.0,11.0,43,21,1627
262,2011-01-12,9,clear,59.9,77.0,59.0,22.0,36,23,1014
263,2011-01-12,10,clear,61.6,82.4,55.00000000000001,15.0,6,2,512
264,2011-01-12,11,clear,63.3,82.4,51.0,26.0,49,21,417
265,2011-01-12,12,clear,63.3,78.8,47.0,39.0,8,23,675
266,2011-01-12,13,clear,65.0,84.2,44.0,24.0,32,0,636
267,2011-01-12,14,clear,63.3,82.4,47.0,22.0,48,0,576
268,2011-01-12,15,clear,63.3,80.6,47.0,28.0,37,6,621
269,2011-01-12,16,clear,65.0,84.2,44.0,22.0,22,33,824
270,2011-01-12,17,clear,63.3,82.4,47.0,24.0,30,-2,1803
271,2011-01-12,18,clear,63.3,78.8,47.0,35.0,29,15,1759
272,2011-01-12,19,clear,61.6,78.8,47.0,28.0,45,9,1066
273,2011-01-12,20,clear,59.9,77.0,50.0,22.0,5,16,705
274,2011-01-12,21,clear,59.9,77.0,55.00000000000001,22.0,6,2,736
275,2011-01-12,22,clear,59.9,75.2,55.00000000000001,30.0,12,8,421
276,2011-01-12,23,clear,58.2,73.4,59.0,28.0,25,7,246
277,2011-01-13,0,clear,58.2,75.2,59.0,19.0,8,9,74
278,2011-01-13,1,clear,58.2,75.2,50.0,19.0,22,2,30
279,2011-01-13,2,clear,58.2,75.2,50.0,24.0,16,2,29
280,2011-01-13,3,clear,58.2,75.2,50.0,22.0,21,2,35
281,2011-01-13,4,clear,58.2,75.2,50.0,17.0,1,1,53
282,2011-01-13,5,clear,58.2,75.2,50.0,20.0,5,-2,41
283,2011-01-13,6,clear,56.6,78.8,54.0,9.0,40,1,364
284,2011-01-13,7,lear,56.6,78.8,54.0,9.0,26,2,939
285,2011-01-13,8,clear,58.2,77.0,50.0,13.0,7,33,2565
286,2011-01-13,9,clear,58.2,75.2,50.0,22.0,27,14,1777
287,2011-01-13,10,cloudy,59.9,77.0,50.0,24.0,32,12,471
288,2011-01-13,11,cloudy,63.3,80.6,44.0,30.0,46,28,430
289,2011-01-13,12,clear,63.3,80.6,44.0,28.0,23,23,632
290,2011-01-13,13,clear,65.0,84.2,41.0,30.0,36,15,1054
291,2011-01-13,14,clear,65.0,84.2,41.0,26.0,18,23,507
292,2011-01-13,15,clear,66.7,86.0,38.0,20.0,22,35,711
293,2011-01-13,16,clear,66.7,86.0,38.0,24.0,8,13,988
294,2011-01-13,17,clear,63.3,82.4,40.0,19.0,22,29,2058
295,2011-01-13,18,clear,63.3,82.4,40.0,22.0,36,21,1838
296,2011-01-13,19,clear,59.9,78.8,47.0,17.0,0,5,1279
297,2011-01-13,20,clear,59.9,78.8,47.0,15.0,3,-1,831
298,2011-01-13,21,clear,58.2,75.2,46.0,20.0,46,1,524
299,2011-01-13,22,clear,58.2,75.2,46.0,22.0,16,-1,387
300,2011-01-13,23,clear,56.6,77.0,50.0,13.0,30,8,182
301,2011-01-14,0,clear,56.6,77.0,50.0,13.0,39,0,185
302,2011-01-14,1,clear,54.9,75.2,54.0,11.0,3,2,66
303,2011-01-14,2,clear,54.9,75.2,54.0,9.0,10,-2,14
304,2011-01-14,3,clear,54.9,77.0,54.0,7.0,36,1,17
305,2011-01-14,5,clear,54.9,77.0,54.0,6.0,14,1,103
306,2011-01-14,6,clear,54.9,82.4,54.0,0.0,25,-1,221
307,2011-01-14,7,clear,54.9,75.2,74.0,11.0,36,2,914
308,2011-01-14,8,clear,56.6,80.6,68.0,0.0,3,12,2028
309,2011-01-14,9,clear,58.2,78.8,69.0,9.0,22,0,1519
310,2011-01-14,10,clear,61.6,82.4,55.00000000000001,13.0,0,26,517
311,2011-01-14,11,clear,61.6,80.6,51.0,19.0,33,42,616
312,2011-01-14,12,clear,63.3,84.2,44.0,17.0,32,13,768
313,2011-01-14,13,clear,65.0,84.2,37.0,26.0,25,29,952
314,2011-01-14,14,clear,65.0,86.0,41.0,19.0,47,37,768
315,2011-01-14,15,clear,66.7,89.6,38.0,11.0,15,65,765
316,2011-01-14,16,CLEAR,65.0,89.6,41.0,7.0,11,19,1130
317,2011-01-14,17,clear,65.0,87.8,41.0,11.0,31,26,2019
318,2011-01-14,18,clear,63.3,91.4,47.0,0.0,30,33,1745
319,2011-01-14,19,clear,59.9,84.2,59.0,6.0,24,22,1155
320,2011-01-14,20,clear,61.6,89.6,59.0,0.0,3,2,886
321,2011-01-14,21,clear,59.9,87.8,69.0,0.0,6,30,629
322,2011-01-14,22,cloudy,59.9,87.8,69.0,0.0,49,15,439
323,2011-01-14,23,cloudy,61.6,89.6,55.00000000000001,0.0,31,5,339
324,2011-01-15,0,clear,61.6,89.6,55.00000000000001,0.0,35,23,325
325,2011-01-15,1,cloudy,59.9,84.2,59.0,6.0,34,14,239
326,2011-01-15,2,cloudy,59.9,84.2,59.0,6.0,30,1,156
327,2011-01-15,3,cloudy,59.9,87.8,59.0,0.0,19,6,95
328,2011-01-15,4,cloudy,59.9,87.8,59.0,0.0,33,-2,67
329,2011-01-15,5,clear,59.9,87.8,59.0,0.0,13,-2,9
330,2011-01-15,6,clear,58.2,80.6,63.0,7.0,14,7,26
331,2011-01-15,7,clear,58.2,86.0,63.0,0.0,29,6,118
332,2011-01-15,8,clear,58.2,78.8,63.0,9.0,30,7,291
333,2011-01-15,9,clear,59.9,82.4,64.0,9.0,40,12,399
334,2011-01-15,10,clear,61.6,84.2,59.0,11.0,29,13,736
335,2011-01-15,11,clear,63.3,84.2,55.00000000000001,15.0,34,124,706
336,2011-01-15,12,clear,66.7,87.8,48.0,15.0,17,104,966
337,2011-01-15,13,clear,70.1,91.4,38.0,20.0,38,149,1035
338,2011-01-15,14,clear,71.8,95.0,39.0,19.0,49,180,1191
339,2011-01-15,15,cloudy,73.5,98.6,36.0,13.0,27,149,1409
340,2011-01-15,16,cloudy,75.2,100.4,34.0,13.0,4,233,1231
341,2011-01-15,17,cloudy,73.5,96.8,36.0,19.0,7,202,707
342,2011-01-15,18,cloudy,71.8,95.0,45.0,17.0,12,104,901
343,2011-01-15,19,cloudy,73.5,96.8,39.0,17.0,49,99,781
344,2011-01-15,20,cloudy,73.5,96.8,39.0,17.0,16,40,450
345,2011-01-15,21,cloudy,73.5,96.8,39.0,15.0,39,44,668
346,2011-01-15,22,cloudy,71.8,98.6,42.0,7.0,49,0,337
347,2011-01-15,23,clear,71.8,95.0,45.0,19.0,12,37,504
348,2011-01-16,0,clear,68.4,96.8,56.00000000000001,0.0,19,42,432
349,2011-01-16,1,clear,68.4,93.2,56.00000000000001,9.0,43,27,251
350,2011-01-16,2,clear,68.4,95.0,56.00000000000001,6.0,49,22,173
351,2011-01-16,3,clear,65.0,93.2,69.0,0.0,22,62,81
352,2011-01-16,4,clear,68.4,91.4,56.00000000000001,11.0,49,1,16
353,2011-01-16,5,cloudy,68.4,91.4,56.00000000000001,11.0,4,9,12
354,2011-01-16,6,CLOUDY,68.4,91.4,56.00000000000001,11.0,3,1,17
355,2011-01-16,7,cloudy,66.7,86.0,56.00000000000001,20.0,39,-1,39
356,2011-01-16,8,clear,65.0,86.0,55.00000000000001,19.0,19,2,229
357,2011-01-16,9,clear,65.0,86.0,51.0,17.0,34,23,378
358,2011-01-16,10,clear,65.0,86.0,51.0,19.0,32,57,928
359,2011-01-16,11,clear,66.7,87.8,44.0,17.0,45,160,908
360,2011-01-16,12,clear,66.7,86.0,41.0,19.0,26,204,972
361,2011-01-16,13,clear,68.4,87.8,35.0,20.0,20,161,1237
362,2011-01-16,14,clear,70.1,93.2,36.0,17.0,41,154,901
363,2011-01-16,15,clear,68.4,89.6,38.0,17.0,39,246,1017
364,2011-01-16,16,clear,66.7,87.8,38.0,15.0,38,152,1004
365,2011-01-16,17,clear,65.0,86.0,37.0,17.0,41,161,1062
366,2011-01-16,18,clear,63.3,86.0,40.0,11.0,49,75,724
367,2011-01-16,19,clear,61.6,84.2,47.0,9.0,30,99,610
368,2011-01-16,20,clear,61.6,84.2,47.0,11.0,27,48,646
369,2011-01-16,21,clear,61.6,84.2,51.0,11.0,28,41,285
370,2011-01-16,22,cloudy,63.3,86.0,49.0,9.0,13,15,250
